affiliation_id,nome_normalizado,sigla,endereco,affiliation_full_text
deedf1d0-f418-43cf-91b4-5dc20e4a864f,DEPARTMENT OF CHEMISTRY,SEM SIGLA,"Institute of Exact Sciences, Federal University of Amazonas, Avenida Rodrigo Otávio, 6200, Coroado, AM, Manaus, 69077-000, Brazil","Department of Chemistry, Institute of Exact Sciences, Federal University of Amazonas, Avenida Rodrigo Otávio, 6200, Coroado, AM, Manaus, 69077-000, Brazil"
18c56426-c08f-477f-8262-9d4a12f52abe,LABORATORY FOR THE SUPPORT OF TECHNOLOGICAL DEVELOPMENT,SEM SIGLA,"Chemistry Institute, Federal University of Rio de Janeiro, Avenida Horácio Macedo, 1281—Polo de Química—Cidade Universitária, Ilha do Fundão, RJ, Rio de Janeiro, 21941-598, Brazil","Laboratory for the Support of Technological Development, Chemistry Institute, Federal University of Rio de Janeiro, Avenida Horácio Macedo, 1281—Polo de Química—Cidade Universitária, Ilha do Fundão, RJ, Rio de Janeiro, 21941-598, Brazil"
27f6dc30-75a9-4016-b888-8529f8bf43ab,DEPARTMENT OF CHEMICAL ENGINEERING,SEM SIGLA,"Military Institute of Engineering—IME, Praça General Tiburcio 80, RJ, Urca, Rio de Janeiro, 22290-270, Brazil","Department of Chemical Engineering, Military Institute of Engineering—IME, Praça General Tiburcio 80, RJ, Urca, Rio de Janeiro, 22290-270, Brazil"
7111b01b-6241-4e75-84f5-87589381038e,WOOD SCIENCE AND TECHNOLOGY,SEM SIGLA,"Federal University of Lavras-UFLA, Minas Gerais, Lavras, Brazil","Wood Science and Technology, Federal University of Lavras-UFLA, Minas Gerais, Lavras, Brazil"
0b6ee5d3-12d1-43ba-83da-20eec04bea66,FORESTRY ENGINEERING FACULTY,SEM SIGLA,"Federal University of Mato Grosso-UFMT, Mato Grosso, Cuiabá, Brazil","Forestry Engineering Faculty, Federal University of Mato Grosso-UFMT, Mato Grosso, Cuiabá, Brazil"
b707670a-99dd-496d-8416-ed70617985b6,DEPARTMENT OF FOREST ENGINEERING,SEM SIGLA,"State University of Mato Grosso-UNEMAT, Mato Grosso, Alta Floresta, Brazil","Department of Forest Engineering, State University of Mato Grosso-UNEMAT, Mato Grosso, Alta Floresta, Brazil"
6fed19d2-dfbc-4f01-bb7d-2bf3c9ebba96,DEPARTMENT OF FOREST SCIENCES,SEM SIGLA,"Federal University of Lavras-UFLA, Minas Gerais, Lavras, Brazil","Department of Forest Sciences, Federal University of Lavras-UFLA, Minas Gerais, Lavras, Brazil"
c875b16b-0d42-45fa-8fef-8e66ec300188,CENTRO DE CIENCIAS BIOLOGICAS E DA SAUDE,SEM SIGLA,"Universidade Federal do Maranhão, Depto. Biologia, Bacanga, MA, São Luís, Brazil","Centro de Ciências Biológicas E da Saúde, Universidade Federal do Maranhão, Depto. Biologia, Bacanga, MA, São Luís, Brazil"
9b2d7b94-ec28-489b-a388-9e2cb9979ae5,MUSEU PARAENSE EMILIO GOELDI,SEM SIGLA,"Depto. Botânica, PA, Belém, Brazil","Museu Paraense Emílio Goeldi, Depto. Botânica, PA, Belém, Brazil"
7bb9a086-cc8c-4389-a5c8-24c42c0935bf,UNIVERSIDADE FEDERAL DE JATAI,SEM SIGLA,"GO, Jataí, Brazil","Universidade Federal de Jataí, GO, Jataí, Brazil"
1f59fc00-de15-4d79-aa71-cb605c583199,INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA,SEM SIGLA,"AM, Manaus, Brazil","Instituto Nacional de Pesquisas da Amazônia, AM, Manaus, Brazil"
a3531aa6-e536-42a0-bf68-5ddf1bf1d4e8,DEPARTMENT OF ECOLOGY,SEM SIGLA,"Evolution and Organismal Biology, 251 Bessey Hall, Iowa State University, Ames, 50011-4009, IA, United States","Department of Ecology, Evolution and Organismal Biology, 251 Bessey Hall, Iowa State University, Ames, 50011-4009, IA, United States"
e79252d7-d9e0-4713-b7fb-051cd775694a,PROGRAMA DE POS-GRADUACAO EM BIODIVERSIDADE E EVOLUCAO,SEM SIGLA,"Coordenação de Botânica, Museu Paraense Emílio Goeldi, Av. Perimetral, 1901, Terra Firme, PA, Belém, 66077-530, Brazil","Programa de Pós-Graduação em Biodiversidade e Evolução, Coordenação de Botânica, Museu Paraense Emílio Goeldi, Av. Perimetral, 1901, Terra Firme, PA, Belém, 66077-530, Brazil"
ae74288f-1a0d-4b42-9cae-fa63833dc7b9,UNIVERSIDADE FEDERAL DE RONDONIA,SEM SIGLA,"Programa de Pós-Graduação em Ciências Ambientais (PGCA), RO, Rolim de Moura, Brazil","Universidade Federal de Rondônia, Programa de Pós-Graduação em Ciências Ambientais (PGCA), RO, Rolim de Moura, Brazil"
7c1df52b-8eb6-4488-ab58-06f2a9169c6e,UNIVERSIDADE FEDERAL DE VICOSA,SEM SIGLA,"Pesquisador Na Área de Fitopatologia da Embrapa Rondônia, RO, Porto Velho, Brazil","Universidade Federal de Viçosa, Pesquisador Na Área de Fitopatologia da Embrapa Rondônia, RO, Porto Velho, Brazil"
1a892778-fddc-4ced-951a-327a131695bb,SECRETARIO-EXECUTIVO DO COMITE TECNICO INTERNO CTI DA UNIDADE,CTI,"RO, Porto Velho, Brazil","Secretário-executivo Do Comitê Técnico Interno (CTI) da Unidade, RO, Porto Velho, Brazil"
fa0881a4-22c9-43a6-8cf7-d14a12dfba04,FACULDADES INTEGRADAS APARICIO CARVALHO E DISCENTE DE INICIACAO CIENTIFICA,SEM SIGLA,"Laboratório de Entomologia da Embrapa Rondônia, RO, Porto Velho, Brazil","Faculdades Integradas Aparicio Carvalho e Discente de Iniciacao Cientifica, Laboratório de Entomologia da Embrapa Rondônia, RO, Porto Velho, Brazil"
872bce6c-1b7f-46af-ac80-c1aabd17d546,UNIVERSIDADE FEDERAL DO CEARA,SEM SIGLA,"Institute of Phytopathology and Applied Zoology, Giessen, Germany","Universidade Federal Do Ceará, Institute of Phytopathology and Applied Zoology, Giessen, Germany"
62971428-bbaf-46d8-a3b8-1331f14bb175,EMBRAPA AGROINDUSTRIA TROPICAL,SEM SIGLA,"CE, Fortaleza, Brazil","Embrapa Agroindústria Tropical, CE, Fortaleza, Brazil"
88b9b7aa-95c7-49dc-beeb-b3aa43d62e60,UNIVERSIDADE FEDERAL DO AMAPA,SEM SIGLA,"Programa de Pós-Graduação em Biodiversidade e Biotecnologia da Rede BIONORTE, Rodovia Josmar Chaves Pinto, Km 2, Jardim Marco Zero, AP, Macapá, 68903-419, Brazil","Universidade Federal do Amapá, Programa de Pós-Graduação em Biodiversidade e Biotecnologia da Rede BIONORTE, Rodovia Josmar Chaves Pinto, Km 2, Jardim Marco Zero, AP, Macapá, 68903-419, Brazil"
3242dea1-6db2-4edf-bbac-66034af6fc7e,UNIVERSITE DE LYON 1,SEM SIGLA,"Herbiers, Villeurbanne, Cedex F-69622, France","Université de Lyon 1, Herbiers, Villeurbanne, Cedex F-69622, France"
f08ca8ed-3893-4d53-879c-887337cac6ce,MINERACAO RIO DO NORTE,SEM SIGLA,"Rua Rio Jari s/n, Porto Trombetas, PA, Oriximiná, 68275-000, Brazil","Mineração Rio do Norte, Rua Rio Jari s/n, Porto Trombetas, PA, Oriximiná, 68275-000, Brazil"
5de7e0c2-5bd8-4390-9d44-38b61ed1235e,INSTITUTO DE PESQUISAS CIENTIFICAS E TECNOLOGICAS DO ESTADO DO AMAPA,SEM SIGLA,"Laboratório de Taxonomia Vegetal, Rodovia Juscelino Kubitschek, Km 10, AP, Macapá, 68903-970, Brazil","Instituto de Pesquisas Científicas e Tecnológicas do Estado do Amapá, Laboratório de Taxonomia Vegetal, Rodovia Juscelino Kubitschek, Km 10, AP, Macapá, 68903-970, Brazil"
81dcba4a-2942-4a39-8f20-059f51b6f483,SCHULSTRASSE 5,SEM SIGLA,"Schondorf, 86938, Germany","Schulstrasse 5, Schondorf, 86938, Germany"
eb971d02-9e75-4fb0-a9d3-4c3f19149d79,VILA BETEL 32B,SEM SIGLA,"Manaus, 69020-052, Amazonas, Brazil","Vila Betel 32b, Manaus, 69020-052, Amazonas, Brazil"
19177a83-f46f-4f58-b550-aaa350cdaee7,UNIVERSITY OF HEIDELBERG,SEM SIGLA,"Institute of Inorganic Chemistry, Neuenheimer Feld 270, Heidelberg, 69120, Germany","University of Heidelberg, Institute of Inorganic Chemistry, Neuenheimer Feld 270, Heidelberg, 69120, Germany"
60260aa8-837a-4eb5-a766-e10183c11e6b,RUA MAJOR GABRIEL 587,SEM SIGLA,"Paraca 14, Manaus, 69010-250, Amazonas, Brazil","Rua Major Gabriel 587, Paraca 14, Manaus, 69010-250, Amazonas, Brazil"
83477bdf-465d-4fd3-8faa-96589eb1bcc8,AV ANTONIO JOAQUIM DE MOURA ANDRADE,SEM SIGLA,"Águas de São Pedro, 65, 13525-000, São Paulo, Brazil","Av. Antonio Joaquim de Moura Andrade, Águas de São Pedro, 65, 13525-000, São Paulo, Brazil"
00bffba2-16f0-4955-a928-32bba8be9aa9,UNIVERSIDADE DO ESTADO DO AMAPA,SEM SIGLA,"Amapa, Macapa, Brazil","Universidade do Estado do Amapa, Amapa, Macapa, Brazil"
d7965f14-ba38-4a52-8198-9d0c0ec46a19,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,SEM SIGLA,"Laboratório de Investigação Química de Inseticidas Naturais, Departamento de Agronomia, Rua Dom Manoel de Medeiros, s/n, PE, Recife, 52171-030, Brazil","Universidade Federal Rural de Pernambuco, Laboratório de Investigação Química de Inseticidas Naturais, Departamento de Agronomia, Rua Dom Manoel de Medeiros, s/n, PE, Recife, 52171-030, Brazil"
8862bdad-ee7f-4ff1-9714-046a6f886c03,UNIVERSIDADE FEDERAL DO AMAZONAS,SEM SIGLA,"Campus ICET, Rua Nossa Senhora do Rosário, 3863, Tiradentes, AM, Itacoatiara, 69103-128, Brazil","Universidade Federal do Amazonas, Campus ICET, Rua Nossa Senhora do Rosário, 3863, Tiradentes, AM, Itacoatiara, 69103-128, Brazil"
b4319b2f-fe1f-4377-9cbf-89370bb144d6,INSTITUTO NACIONAL DE PESQUISA DA AMAZONIA,SEM SIGLA,"Coordenação de Pesquisas em Botânica, Av. André Araújo, 2936, Petrópolis, AM, Manaus, 69060-001, Brazil","Instituto Nacional de Pesquisa da Amazônia, Coordenação de Pesquisas em Botânica, Av. André Araújo, 2936, Petrópolis, AM, Manaus, 69060-001, Brazil"
9d5a02f9-7ce8-4c14-a1f9-9990fb6e1e32,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,SEM SIGLA,"Instituto de Biologia Roberto Alcantara Gomes, RJ, Rio de Janeiro, CEP 20550-013, Brazil","Universidade do Estado do Rio de Janeiro, Instituto de Biologia Roberto Alcantara Gomes, RJ, Rio de Janeiro, CEP 20550-013, Brazil"
bef6ce9d-05c4-4e6a-aa6c-c4b6543cab3e,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SEM SIGLA,"Instituto de Biologia, Departamento de Ecologia, RJ, Rio de Janeiro, CEP 21941-590, Brazil","Universidade Federal do Rio de Janeiro, Instituto de Biologia, Departamento de Ecologia, RJ, Rio de Janeiro, CEP 21941-590, Brazil"
