"article_id","keyword_id"
"2-s2.0-85162981044","761feed4-5d5e-4e9e-a69a-126a8d17a96b"
"2-s2.0-85162981044","1b33f066-3a93-4408-b7af-d40388eb9e91"
"2-s2.0-85162981044","b2d2906d-23b4-494c-8437-522fe5308821"
"2-s2.0-85162981044","624e7ea1-7b65-4468-9847-278343e08d9a"
"2-s2.0-85162981044","7b4373e2-a664-4095-9790-a7e42c6e5e52"
"2-s2.0-85149013333","663c0f9a-9a3c-42f7-8161-cb4f87b99581"
"2-s2.0-85149013333","4e8fcb24-8b5f-40ba-81d3-c6dfc72e7052"
"2-s2.0-85149013333","de3701e2-65bc-49ab-980f-2a6586818459"
"2-s2.0-85160833451","0a999e9b-b275-499e-b91a-e53d03838893"
"2-s2.0-85160833451","09b5bd6d-c0a7-4210-a9f6-b998db0339a2"
"2-s2.0-85160833451","c9f79119-e6dc-40e0-92a7-ee2a1ac3ad56"
"2-s2.0-85160833451","0cf117ad-d947-4d65-b953-6d12a73eca58"
"2-s2.0-85167577291","96e1f4c1-ea91-43b7-8e4b-3ea9b0923a6e"
"2-s2.0-85167577291","31db4019-15d8-44ef-b46b-34f628434438"
"2-s2.0-85167577291","744d606e-e959-4117-8cbf-8cb2f168f22a"
"2-s2.0-85167577291","0cf117ad-d947-4d65-b953-6d12a73eca58"
"2-s2.0-85167577291","f1072da8-a1d2-4d70-af1b-bf15d7762fd6"
"2-s2.0-85143804200","3ac1c2d5-b908-4cfd-b212-3c713b1a9a9d"
"2-s2.0-85143804200","462c7d0b-e62e-4649-84cf-4cf1f89a3111"
"2-s2.0-85143804200","35ab0885-d5a7-4971-ba4f-cb3ca57c51fd"
"2-s2.0-85143804200","59ee992f-d091-4f19-a3b0-646e2cf3a0e1"
"2-s2.0-85143804200","0ad271a3-f12e-41f6-80e7-bcd9a0a5c43b"
"2-s2.0-85143804200","47c42751-135d-4be2-9e6d-43acb39462ba"
"2-s2.0-85164330112","916bd57b-67a0-480b-9c25-083790029f27"
"2-s2.0-85164330112","4fa5d782-dda8-4a13-8fc6-b4f9aaa18b21"
"2-s2.0-85164330112","c9f79119-e6dc-40e0-92a7-ee2a1ac3ad56"
"2-s2.0-85164330112","0cf117ad-d947-4d65-b953-6d12a73eca58"
"2-s2.0-85104643201","b57d5188-32ea-486b-b30e-a1b507a3eed5"
"2-s2.0-85104643201","69e760b8-084b-44fa-b4c3-5045dced7b64"
"2-s2.0-85104643201","abab0c08-5304-4ac9-a00b-84294d929d89"
"2-s2.0-85104643201","a1e5bed0-466c-4aac-8149-132989cb2fde"
"2-s2.0-85104643201","bb963435-d75f-4792-89f6-84f5cda0925c"
"2-s2.0-85104643201","c950a90a-a71a-4d58-b0cc-99d8a4bc4616"
"2-s2.0-85104643201","3d8c4bb5-e555-4eb1-870c-86ea4c0416af"
"2-s2.0-85104643201","0fff948f-2a9d-43c6-b8cd-30a5f702518b"
"2-s2.0-85104643201","83f62e57-8976-4cbe-8392-ca5dfee2d74d"
"2-s2.0-85104643201","955f1086-b4fb-49c5-bb38-2d23cd90d3f1"
"2-s2.0-85189165101","e75d4522-17a3-47af-976e-2f967429cdfe"
"2-s2.0-85189165101","be988b32-3080-4412-b489-593812a6ac36"
"2-s2.0-85189165101","1abeae81-f991-4f38-9986-5f98012d5103"
"2-s2.0-85180253143","663c0f9a-9a3c-42f7-8161-cb4f87b99581"
"2-s2.0-85180253143","e7f69bde-f50f-4d0a-a14e-fbe77d20fed1"
"2-s2.0-85180253143","29bae309-6b94-4019-b227-146d7192f760"
"2-s2.0-85180253143","396a2c62-fe8f-44e6-adc6-dc648b0da9bb"
"2-s2.0-85177492685","7b1194f3-8fd3-43f0-8965-c23827e668f9"
"2-s2.0-85177492685","320ef064-4be9-4154-9d0b-b6fa12c439ee"
"2-s2.0-85177492685","439c3ef0-08a4-4776-ab98-9ae75d77b9e5"
"2-s2.0-85177492685","f322e0f2-ee85-48b3-86c3-e0a4daf9d4a8"
"2-s2.0-85177492685","e4df693e-8358-4784-b365-59d424135ba6"
"2-s2.0-85142458747","f705a70c-89c8-4f8b-8481-378a106c6cc3"
"2-s2.0-85142458747","178d0097-4933-4111-aa8d-0020dff37c57"
"2-s2.0-85142458747","712175ea-74da-4033-b1bf-9db82e6cef69"
"2-s2.0-85142458747","2a024bf4-179e-4ba0-b5c2-98a57cf93664"
"2-s2.0-85164014254","663c0f9a-9a3c-42f7-8161-cb4f87b99581"
"2-s2.0-85164014254","9c3acfa1-0a4b-4ba5-8472-02da63d8caaf"
"2-s2.0-85164014254","0cf117ad-d947-4d65-b953-6d12a73eca58"
"2-s2.0-85164014254","5a605850-e164-42d3-9180-f13e63579487"
"2-s2.0-85127555538","53d703d1-55dd-4e7c-a5fa-c8d19fc272a4"
"2-s2.0-85127555538","2bd1efca-5e1a-4e39-ab80-5512056b06c8"
"2-s2.0-85127555538","9c6e34a6-dd7f-4cde-a740-8fe618c29493"
"2-s2.0-85188150277","71288a6d-94e8-45ff-9267-f953f052d003"
"2-s2.0-85188150277","60f177a3-b044-4e09-8397-70a5a10aa3a1"
"2-s2.0-85188150277","fdb1f3b0-96f6-4c48-b118-48905a7dafa8"
"2-s2.0-85188150277","211d6ae2-ddf0-4911-8806-244bfc48981f"
"2-s2.0-85188150277","45f7157d-ea3f-46d2-bac3-d90e17e7d495"
"2-s2.0-85188150277","f2c4fe40-20c3-454e-bbea-d4effd81253e"
"2-s2.0-85124005642","663c0f9a-9a3c-42f7-8161-cb4f87b99581"
"2-s2.0-85124005642","d117dd38-d2da-48f4-8ae0-dcd3937b9208"
"2-s2.0-85124005642","38afa3a2-237e-4508-b24f-e43088d9a36c"
