article_id,authors_id
2-s2.0-85162981044,57212932024
2-s2.0-85162981044,58355365500
2-s2.0-85162981044,26028309100
2-s2.0-85162981044,55954117000
2-s2.0-85162981044,7006393638
2-s2.0-85162981044,8784114500
2-s2.0-85149013333,58119830300
2-s2.0-85149013333,7102474765
2-s2.0-85149013333,57189244151
2-s2.0-85149013333,36928208100
2-s2.0-85149013333,56317546400
2-s2.0-85149013333,55143401500
2-s2.0-85149013333,57209395027
2-s2.0-85160833451,7102740855
2-s2.0-85167577291,57221612640
2-s2.0-85167577291,57221607661
2-s2.0-85167577291,58531148900
2-s2.0-85143804200,58001294800
2-s2.0-85143804200,58002168600
2-s2.0-85143804200,7005934688
2-s2.0-85143804200,57209362625
2-s2.0-85143804200,7005928791
2-s2.0-85143804200,58000647800
2-s2.0-85143804200,36633910500
2-s2.0-85164330112,58480391900
2-s2.0-85164330112,57552678300
2-s2.0-85164330112,7004881658
2-s2.0-85104643201,57189076341
2-s2.0-85104643201,35607508300
2-s2.0-85189165101,58867287200
2-s2.0-85189165101,57199399792
2-s2.0-85189165101,8785951600
2-s2.0-85189165101,57219858439
2-s2.0-85189165101,8603857400
2-s2.0-85180253143,57208081121
2-s2.0-85180253143,36601031600
2-s2.0-85180253143,55805626300
2-s2.0-85180253143,51663223300
2-s2.0-85180253143,14047979900
2-s2.0-85180253143,36133516900
2-s2.0-85177492685,58704867700
2-s2.0-85177492685,55195138000
2-s2.0-85177492685,56345843100
2-s2.0-85142458747,23093937200
2-s2.0-85142458747,35075640000
2-s2.0-85142458747,6602826941
2-s2.0-85164014254,57203943139
2-s2.0-85164014254,7402667470
2-s2.0-85164014254,57225156335
2-s2.0-85164014254,57188735127
2-s2.0-85164014254,8859673400
2-s2.0-85127555538,57561150000
2-s2.0-85127555538,55945911900
2-s2.0-85127555538,57611834400
2-s2.0-85127555538,36543537400
2-s2.0-85127555538,57561736300
2-s2.0-85127555538,57324310200
2-s2.0-85188150277,57194491539
2-s2.0-85188150277,23466323200
2-s2.0-85188150277,56180863100
2-s2.0-85188150277,58170144700
2-s2.0-85188150277,25928302800
2-s2.0-85124005642,7006315182
2-s2.0-85124005642,57438768600
2-s2.0-85124005642,57436229900
2-s2.0-85124005642,57438938400
2-s2.0-85124005642,57438938500
2-s2.0-85132537421,57196465549
2-s2.0-85132537421,57758772800
2-s2.0-85132537421,57758865100
2-s2.0-85132537421,15049235100
2-s2.0-85135730861,57837722700
2-s2.0-85135730861,57202887610
2-s2.0-85135730861,14046764600
2-s2.0-85135730861,36056226900
2-s2.0-85135730861,57224674097
2-s2.0-85135730861,14625988800
2-s2.0-85135730861,56166428900
2-s2.0-85135730861,6602811854
2-s2.0-85178385301,57196465549
2-s2.0-85178385301,56656503500
2-s2.0-85178385301,23012785400
2-s2.0-85178385301,14819497000
2-s2.0-85126999621,57204951777
2-s2.0-85126999621,48160975000
2-s2.0-85126999621,57204954391
2-s2.0-85129068950,56063146500
2-s2.0-85129068950,57200316052
2-s2.0-85129068950,57225156335
2-s2.0-85118181962,57202363775
2-s2.0-85118181962,6603818091
2-s2.0-85118181962,24780331000
2-s2.0-85118181962,57314872600
2-s2.0-85154576999,56747501300
2-s2.0-85154576999,6506914631
2-s2.0-85154576999,58209217900
2-s2.0-85154576999,6505505560
2-s2.0-85154576999,8859673400
2-s2.0-85117324730,53868186000
2-s2.0-85117324730,57300070300
2-s2.0-85117324730,57299705100
2-s2.0-85117324730,25930794200
2-s2.0-85184823294,58122825900
2-s2.0-85184823294,56564031400
2-s2.0-85184823294,57874432000
2-s2.0-85184823294,24080015100
2-s2.0-85184823294,57924941800
2-s2.0-85184823294,55807842600
2-s2.0-85184823294,25225846100
2-s2.0-85184823294,56913332700
2-s2.0-85120745143,7004826465
2-s2.0-85101250241,36671065500
2-s2.0-85101250241,56574619500
2-s2.0-85101250241,33267808700
2-s2.0-85101250241,57222058884
2-s2.0-85101250241,57222077479
2-s2.0-85101250241,23010033400
2-s2.0-85101250241,16425697200
2-s2.0-85179043779,56721174300
2-s2.0-85179043779,57192007285
2-s2.0-85179043779,57486311300
2-s2.0-85179043779,58752472700
2-s2.0-85179043779,26534925000
2-s2.0-85179043779,14826417100
2-s2.0-85125060481,56611758400
2-s2.0-85125060481,57209784753
2-s2.0-85125060481,56345843100
2-s2.0-85103397524,57203917297
2-s2.0-85103397524,57222607695
2-s2.0-85103397524,26028309100
2-s2.0-85103397524,57204242892
2-s2.0-85103397524,35772966800
2-s2.0-85103397524,35495479900
2-s2.0-85103397524,56763376300
2-s2.0-85182146882,58062248600
2-s2.0-85182146882,57200105441
2-s2.0-85182146882,16028462300
2-s2.0-85185267229,56721174300
2-s2.0-85185267229,58891588100
2-s2.0-85185267229,57486311300
2-s2.0-85185267229,58891808400
2-s2.0-85185267229,55336215600
2-s2.0-85185267229,14826417100
2-s2.0-85185267229,26534925000
2-s2.0-85130950378,57715772000
2-s2.0-85130950378,57210523474
2-s2.0-85130950378,57222635348
2-s2.0-85130950378,56463899900
2-s2.0-85130950378,57221774919
2-s2.0-85142443390,57976182200
2-s2.0-85142443390,7004066696
2-s2.0-85142443390,57976669200
2-s2.0-85142443390,57976182300
2-s2.0-85142443390,57976669300
2-s2.0-85127431422,16643844400
2-s2.0-85127431422,57148151100
2-s2.0-85127431422,57200124960
2-s2.0-85167693202,57220999581
2-s2.0-85167693202,57695862200
2-s2.0-85167693202,55179462900
2-s2.0-85167693202,57225156335
2-s2.0-85146179730,58062248600
2-s2.0-85146179730,57200105441
2-s2.0-85146179730,57213223811
2-s2.0-85146179730,16028462300
