especie_id,nome_cientifico
245,Pleonotoma fissicalyx
246,Pleonotoma longiflora
247,Pyrostegia millingtonioides
248,Tanaecium decorticans
249,Tynanthus densiflorus
250,Aechmea egleriana
251,Aechmea fernandae
252,Aechmea murcae
253,Aechmea polyantha
254,Aechmea rodriguesiana
255,Aechmea vallerandii
256,Aechmea xinguana
257,Billbergia dasilvae
258,Brocchinia amazonica
259,Bromelia araujoi
260,Bromelia epiphytica
261,Bromelia gracilisepala
262,Bromelia morreniana
263,Bromelia oliveirae
264,Bromelia rondoniana
265,Dyckia paraensis
266,Dyckia sickii
267,Dyckia silvae
268,Fosterella batistiana
269,Guzmania nubicola
270,Guzmania vittata
271,Lindmania maguirei
272,Lindmania piresii
273,Mezobromelia pleiosticha
274,Navia corrugata
275,Navia eldorado
276,Navia piresii
277,Navia tenuifolia
278,Neoregelia margaretae
279,Pitcairnia anomala
280,Pitcairnia buscalionii
281,Pitcairnia crinita
282,Pitcairnia egleri
283,Pitcairnia frequens
284,Pitcairnia neeana
285,Pitcairnia rondonicola
286,Werauhia hylaeana
287,Gymnosiphon saccatus
288,Dacryodes edilsonii
289,Dacryodes froesiana
290,Dacryodes spatulata
291,Protium cordatum
292,Protium herisonii
293,Protium pedicellatum
294,Protium pilosellum
295,Protium tonyanum
296,Trattinnickia dalyana
297,Trattinnickia zickeliana
298,Cabomba schwartzii
299,Melocactus estevesii
300,Caraipa aracaensis
301,Caraipa balbinensis
302,Caraipa foveolata
303,Caraipa glabra
304,Caraipa iracemensis
305,Caraipa longisepala
306,Caraipa minor
307,Caraipa multinervia
308,Caraipa odorata
309,Caraipa rodriguesii
310,Clusiella impressinervis
311,Haploclathra grandiflora
312,Haploclathra verticillata
313,Kielmeyera oreophila
314,Celtis schippii
315,Cheiloclinium puberulum
316,Monteverdia laurina
317,Peritassa manaoara
318,Peritassa petiolata
319,Acioa edulis
320,Acioa longipendula
321,Couepia cataractae
322,Couepia cidiana
323,Couepia eriantha
324,Couepia froesii
325,Couepia glabra
326,Couepia marleneae
327,Couepia morii
328,Couepia reflexa
329,Couepia robusta
330,Couepia spicata
331,Couepia stipularis
332,Gaulettia amaraliae
333,Hirtella arenosa
334,Hirtella barnebyi
335,Hirtella conduplicata
336,Hirtella dorvalii
337,Hirtella fasciculata
338,Hirtella kuhlmannii
339,Hirtella lancifolia
340,Hirtella longifolia
341,Hirtella myrmecophila
342,Hirtella paraensis
343,Hirtella radamii
344,Hirtella scaberula
345,Hymenopus adolphoduckei
346,Hymenopus conferruminatus
347,Hymenopus miltonii
348,Hymenopus sothersiae
349,Leptobalanus joseramosii
350,Licania apiculata
351,Licania aracaensis
352,Licania bellingtonii
353,Licania ferreirae
354,Licania impressa
355,Licania marleneae
356,Licania maxima
357,Licania nelsonii
358,Licania teixeirae
359,Licania tocantina
360,Moquilea anneae
361,Moquilea fritschii
362,Moquilea maranhensis
363,Parinari cardiophylla
364,Clusia lutea
365,Clusia nigrolineata
366,Clusia nitida
367,Clusia polysepala
368,Garcinia albuquerquei
369,Lorostemon coelhoi
370,Lorostemon negrense
371,Moronobea pulchra
372,Tovomita cornuta
373,Tovomita duckei
374,Tovomita hopkinsii
