"article_id","affiliation_id"
"2-s2.0-85162981044","e162660d-79e1-4b48-a30e-5d94844af0fe"
"2-s2.0-85162981044","cd9191e8-feff-461c-a07f-fee8d939799e"
"2-s2.0-85162981044","8898a69a-c023-4a83-8659-6707a79ec48e"
"2-s2.0-85162981044","f7f9dc4f-29cb-4a5d-8209-71fed8dec6e4"
"2-s2.0-85149013333","f6b54023-100d-4f08-b29d-597cd22c10f9"
"2-s2.0-85149013333","9eda8c79-0cab-4adb-a0f0-937d974a5e51"
"2-s2.0-85149013333","008a3d2c-999d-4c31-a951-a09da6ab50be"
"2-s2.0-85149013333","26016afe-3adf-434f-a322-fc064555df5a"
"2-s2.0-85149013333","cb9c9ee8-8659-416f-91f2-6814505825ae"
"2-s2.0-85160833451","b21dc11d-42be-430e-980c-b8b8cfc3db8c"
"2-s2.0-85167577291","1b2107a6-8102-4e2d-be13-3eccf707c1d8"
"2-s2.0-85167577291","d6e80ef7-b62b-4941-a49a-5d12d5293563"
"2-s2.0-85143804200","b17119ce-c506-466e-81df-91e29ed5a9d6"
"2-s2.0-85143804200","8e26b971-54c2-44a5-9917-60b68d556a8b"
"2-s2.0-85143804200","c97241c3-2fc6-4337-9f9e-dd95b5453f2e"
"2-s2.0-85143804200","ab74688d-f0e3-4b93-ac44-36ae333dc36f"
"2-s2.0-85164330112","9446cf12-5ac7-4c37-9008-1da24b9292da"
"2-s2.0-85164330112","d430f86f-8941-4109-ad59-872d691c22cf"
"2-s2.0-85104643201","6bd1e30b-d353-44c5-be48-7dd41738c258"
"2-s2.0-85189165101","5725ab73-f3f0-487b-acbc-614969c02c27"
"2-s2.0-85189165101","4bf67f83-a5c5-4f1b-b8b8-a6ed1b74f6bb"
"2-s2.0-85189165101","c422cf70-349b-4ca8-baf9-6192cf69697c"
"2-s2.0-85180253143","d935a367-997d-4720-b80b-4f85bbf29047"
"2-s2.0-85180253143","22d74be5-8ea1-493e-b163-6e587ccd8e9f"
"2-s2.0-85180253143","d70af1e6-9799-44ef-a1e7-9cf50e230e6b"
"2-s2.0-85180253143","c2e4c053-b3fa-47ef-81ad-b0bed749f38c"
"2-s2.0-85177492685","cbe19a1f-60b6-4f8f-a877-b5939d71b5ca"
"2-s2.0-85177492685","9c1f3ffc-6b7a-4255-b86e-9272c4109226"
"2-s2.0-85142458747","e32e9b65-a9c1-4275-bd3a-fd114ec76835"
"2-s2.0-85142458747","5d61fa80-ce13-4b3b-917c-e2a99245c94f"
"2-s2.0-85164014254","28d12fc3-3b97-474b-b449-58632ce94000"
"2-s2.0-85164014254","10fe00dd-f85d-4b27-852d-021e0b82c917"
"2-s2.0-85127555538","91231a3e-4e30-490e-b57f-13e33c074a64"
"2-s2.0-85127555538","d3127672-9bf4-41ee-a019-04a603eddcb5"
"2-s2.0-85127555538","b8613732-5ac0-44e6-815a-6efbcbdd4b66"
"2-s2.0-85127555538","bfa9dd36-2dc4-452d-8401-6193cffc0ba3"
"2-s2.0-85127555538","624482de-54c1-4097-9af1-4d23f477b4e1"
"2-s2.0-85127555538","b193326f-89f6-4769-b2bf-d1c7687f1d9d"
"2-s2.0-85188150277","3ff20dfe-a36d-4e29-a7be-1e68c6543104"
"2-s2.0-85188150277","6768f46d-7dbd-421a-978c-60f61ae82b10"
"2-s2.0-85188150277","2ccbd1a1-cfff-44c5-9f26-72774b77e320"
"2-s2.0-85188150277","3f7a11eb-2434-4185-a241-c67489573099"
