"article_id","index_keyword_id"
"2-s2.0-85162981044","4323694c-2ae4-456a-a79b-1ab039389f56"
"2-s2.0-85162981044","52f087f0-d505-43ec-bb54-cb74f04a9b0e"
"2-s2.0-85162981044","cc8a68b3-7ab3-4cf0-b84a-fb079c7e7cd3"
"2-s2.0-85162981044","1548a2b0-51cd-438e-a2c4-daf46ceb3104"
"2-s2.0-85162981044","fc7e6583-4d04-43e1-8a08-9231a4141006"
"2-s2.0-85162981044","c0d1c617-1868-4ae8-82d0-d43d99808d1f"
"2-s2.0-85162981044","9087c3e1-22b6-454a-8a38-a1d431deb693"
"2-s2.0-85162981044","5ed3f4eb-87b2-4f51-8f7e-8dde6200eb1e"
"2-s2.0-85162981044","31c6a0af-ba5a-43dc-8089-489df11888f1"
"2-s2.0-85162981044","6ff71d8c-ff98-4782-84e9-166a22f5cb62"
"2-s2.0-85162981044","89b5c934-d923-4a70-8f43-1404839d8151"
"2-s2.0-85149013333","14d67511-b4e9-4947-90d3-98cc768a0be2"
"2-s2.0-85149013333","31865766-72c9-4f7e-ab01-92b4bf390000"
"2-s2.0-85149013333","85c702d6-7d11-49e1-81d6-110783b5cb3f"
"2-s2.0-85149013333","cc8a68b3-7ab3-4cf0-b84a-fb079c7e7cd3"
"2-s2.0-85149013333","2ed6e130-0ccf-4237-b4eb-ea3996b49d2f"
"2-s2.0-85149013333","785156eb-db04-4cbe-81d0-a0596c9e2435"
"2-s2.0-85149013333","2debd78e-1f32-42f7-ae95-055be9e37c1c"
"2-s2.0-85149013333","8231d8ad-9a9c-41a0-b9a5-9e2e8162781e"
"2-s2.0-85149013333","bf901b11-3a86-45ca-8d5e-b17dde6a381f"
"2-s2.0-85149013333","4323694c-2ae4-456a-a79b-1ab039389f56"
"2-s2.0-85149013333","cf397f6b-4b8e-4d47-afc7-b94b6a849c9d"
"2-s2.0-85149013333","cfda8f09-b95a-451c-b0c1-7fd217f444b4"
"2-s2.0-85149013333","3246169a-8f08-4f7a-92f8-3c8bcd22c9da"
"2-s2.0-85149013333","fce4fbb0-08f2-4663-98d1-be11432a9b55"
"2-s2.0-85149013333","50400665-f2d9-406a-b3e9-5e97f645d19b"
"2-s2.0-85149013333","8a05c39c-46ca-4c60-967a-6861b33b4489"
"2-s2.0-85149013333","20c71ab5-cf9b-4603-9a45-83e8b08c1997"
"2-s2.0-85149013333","2d09cc5b-a495-4702-8c37-290b428dd333"
"2-s2.0-85143804200","f34ffd39-778f-460f-868f-29314bd0ac29"
"2-s2.0-85143804200","d6c268ec-6b9f-4b52-97a1-2d38a372f1cd"
"2-s2.0-85143804200","ff7bffd5-d0dc-4a61-98fd-5706c51ca0bf"
"2-s2.0-85143804200","7961056e-25dd-4459-af93-c31cc70da05e"
"2-s2.0-85143804200","eb1946b5-0d50-47f9-ab5a-d8fabc0fa102"
"2-s2.0-85143804200","2d135c75-9598-423e-8442-3318ec9d0e85"
"2-s2.0-85143804200","84004219-38ce-4be4-a86f-754d17d04b02"
"2-s2.0-85143804200","ac6534f7-a6ca-475f-9b34-280286dede82"
"2-s2.0-85143804200","b906c5ae-c965-422c-b243-68a6fcf7ff99"
"2-s2.0-85143804200","d16e31f8-cf75-4166-b672-5ff347397fd7"
"2-s2.0-85143804200","06b51519-3ee2-4668-90d6-07996f727ec2"
"2-s2.0-85143804200","3283a106-d273-4e9d-8fed-793931ef6aee"
"2-s2.0-85143804200","d524e7b2-2a96-4298-98ad-09f081535145"
"2-s2.0-85143804200","2d7e9c83-4211-437d-b6ab-090f0ca152dd"
"2-s2.0-85143804200","e0330d5f-62dd-4762-b484-1db15aef3441"
"2-s2.0-85143804200","57f8e466-d6a6-4557-9c22-471980383f5a"
"2-s2.0-85143804200","d6a7f0ad-56c4-491c-9b9f-517522770c63"
"2-s2.0-85143804200","21d9e490-a0d7-4862-b242-f1f320ea92f8"
"2-s2.0-85143804200","f51d9055-d1a5-4e32-800b-ffc3d6b9dad1"
"2-s2.0-85143804200","ec4b6ac7-d5f3-4a08-8656-ec10274576f4"
"2-s2.0-85143804200","b4402927-3050-456b-9018-43ef5cf19f64"
"2-s2.0-85143804200","b0f2e6d8-2132-42ac-9600-1c40908db7d4"
"2-s2.0-85143804200","f50ada3d-7daf-4bf8-91ed-b2e812c5309a"
"2-s2.0-85143804200","04567a87-da0e-48e7-a51a-16f788d832a9"
"2-s2.0-85143804200","7b75eddf-ad10-4eb2-b1d3-e7ac08764598"
"2-s2.0-85143804200","4c68e011-c107-48b4-9875-b1ddde76421c"
"2-s2.0-85143804200","19b4a5d3-8da3-4fe3-ac8a-771894b9dd4f"
"2-s2.0-85104643201","77db04dd-ba98-49e7-821f-df22c8f90cd1"
"2-s2.0-85104643201","19efe7b1-5caa-476a-9bbb-dfce57adf9ed"
