avaliacao_id,data_avaliacao,reavaliacao,historico_de_avaliacoes,grupo_nome,categoria_risco,nome_cientifico,grupo_taxonomico
6306,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6307,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6308,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,CR,,
6309,2013,NAO INFORMADO,NAO INFORMADO,Samambaias e Licófitas,DD,,
6310,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6311,2013,NAO INFORMADO,NAO INFORMADO,Samambaias e Licófitas,LC,,
6312,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,VU,,
6313,2018,Sim,Reavaliada: Mudou para categoria MENOS restritiva; Saiu de P443 para categoria não ameaçada,Samambaias e Licófitas,DD,,
6314,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6315,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6316,2018,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Samambaias e Licófitas,EN,,
6317,2018,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Samambaias e Licófitas,EN,,
6318,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6319,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,EN,,
6320,2013,NAO INFORMADO,NAO INFORMADO,Samambaias e Licófitas,LC,,
6321,2013,NAO INFORMADO,NAO INFORMADO,Samambaias e Licófitas,DD,,
6322,2018,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Samambaias e Licófitas,EN,,
6323,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Samambaias e Licófitas,CR,,
6324,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6325,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Lacunaria grandifolia,Angiospermas
6326,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Lacunaria oppositifolia,Angiospermas
6327,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,Lacunaria sampaioi,Angiospermas
6328,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Quiina berryi,Angiospermas
6329,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Quiina cidiana,Angiospermas
6330,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6331,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Quiina maguirei,Angiospermas
6332,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,Quiina negrensis,Angiospermas
6333,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6334,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Quiina piresii,Angiospermas
6335,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Touroulia amazonica,Angiospermas
6336,2015,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6337,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6338,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6339,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6340,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6341,2013,NAO INFORMADO,NAO INFORMADO,Briófitas,LC,,
6342,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
6343,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
6344,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6345,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6346,2020,Sim,Reavaliada: Mudou para categoria MENOS restritiva; Saiu de P443 para categoria não ameaçada,Angiospermas,LC,,
6347,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6348,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6349,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
6350,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6351,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,VU,,
6352,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
6353,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6354,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6355,2020,Sim,Continuou em P443 na mesma categoria de ameaça (após reavaliação),Angiospermas,VU,,
6356,2018,Não se aplica,"Inéditas ameaçadas (CR, EN, VU)",Angiospermas,EN,,
6357,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6358,2019,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6359,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Angiospermas,EN,,
6360,2019,Sim - Não Ameaçadas LV 2013,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,NT,,
6361,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,Sterigmapetalum plumbeum,Angiospermas
6362,2013,Não,Continuou em P443 na mesma categoria de ameaça (sem reavaliação),Briófitas,CR,,
6363,2013,NAO INFORMADO,NAO INFORMADO,Briófitas,LC,,
6364,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,DD,,
6365,2013,NAO INFORMADO,NAO INFORMADO,Angiospermas,LC,,
6366,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,LC,,
6367,2020,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,DD,,
6368,2018,Não se aplica,"Inéditas não ameaçadas (NT, DD, LC)",Angiospermas,NT,,
